Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2019-02-01,12:14:55,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,325,325,,,,,0,22.33,24.00,38.33,15
2019-02-01,12:29:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,325,325,,,,,0,21.80,24.00,39.20,15
2019-02-01,12:44:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,315,315,,,,,0,24.27,24.67,35.09,11
2019-02-01,13:14:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,22.43,26.00,38.14,14
2019-02-01,13:29:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,325,325,,,,,0,22.40,26.00,38.13,15
2019-02-01,13:44:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,23.67,25.67,35.67,15
2019-02-01,13:59:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,23.67,24.67,36.33,12
2019-02-01,14:14:29,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,340,340,,,,,0,25.00,24.00,34.00,14
2019-02-01,14:29:29,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,355,355,,,,,0,24.83,23.67,34.17,6
2019-02-01,14:44:58,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,22.73,23.67,37.60,15
2019-02-01,14:59:26,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,355,355,,,,,0,20.13,23.67,42.33,15
2019-02-01,15:14:27,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,345,345,,,,,0,22.60,23.00,37.87,15
2019-02-01,15:29:30,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,20.00,22.67,42.33,15
2019-02-01,15:44:29,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,310,310,,,,,0,19.60,22.00,43.27,15
2019-02-01,15:59:29,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,290,290,,,,,0,21.40,22.00,39.60,10
2019-02-01,16:14:30,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,265,265,,,,,0,22.80,22.00,37.13,15
2019-02-01,16:29:29,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,255,255,,,,,0,22.93,23.33,37.27,15
2019-02-01,16:44:32,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,260,260,,,,,0,24.20,24.00,34.80,15
2019-02-01,17:14:31,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,285,285,,,,,0,24.40,24.00,34.90,10
2019-02-01,17:29:31,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,285,285,,,,,0,20.87,23.67,40.80,15
2019-02-01,17:59:32,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,255,255,,,,,0,23.00,23.00,37.00,0
2019-02-01,18:14:31,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,250,250,,,,,0,22.40,23.67,37.93,15
2019-02-01,18:44:28,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,225,225,,,,,0,23.00,24.00,37.00,9
2019-02-01,18:59:27,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,225,225,,,,,0,21.73,24.00,39.33,15
2019-02-01,19:14:27,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,225,225,,,,,0,20.93,24.00,40.53,15
2019-02-01,19:29:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,225,225,,,,,0,20.67,23.00,40.87,15
2019-02-01,19:44:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,215,215,,,,,0,20.93,23.33,40.13,15
2019-02-01,19:59:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,205,205,,,,,0,23.00,24.00,37.00,5
2019-02-01,20:29:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,160,160,,,,,0,22.00,24.00,39.00,12
2019-02-01,20:44:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,145,145,,,,,0,24.14,23.67,35.43,7
2019-02-01,21:14:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,115,115,,,,,0,24.60,22.67,34.60,10
2019-02-01,21:59:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,90,90,,,,,0,20.00,20.00,42.00,0
2019-02-01,22:14:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,90,90,,,,,0,25.47,20.00,32.80,15
2019-02-01,22:29:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,90,90,,,,,0,21.71,20.00,39.14,7
2019-02-01,22:59:58,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,80,80,,,,,0,18.00,21.00,47.00,11
2019-02-02,00:59:35,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,15,15,,,,,0,16.00,16.00,52.33,0
2019-02-02,02:59:43,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,15,15,,,,,0,21.00,21.00,40.67,0
2019-02-02,05:29:45,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,20,20,,,,,0,18.00,18.00,47.00,0
2019-02-02,07:14:46,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,45,45,,,,,0,23.00,20.00,37.00,10
2019-02-02,08:14:48,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,90,90,,,,,0,21.00,20.00,40.00,5
2019-02-02,08:29:48,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,110,110,,,,,0,20.40,21.33,41.80,15
2019-02-02,08:59:47,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,140,140,,,,,0,25.00,25.00,34.00,0
2019-02-02,10:14:49,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,115,115,,,,,0,21.15,22.67,39.77,13
2019-02-02,10:59:49,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,305,305,,,,,0,22.78,23.00,37.44,9
2019-02-02,11:14:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,325,325,,,,,0,22.93,22.67,37.27,15
2019-02-02,11:29:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,25.00,22.00,34.00,12
2019-02-02,11:44:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,340,340,,,,,0,21.87,22.67,38.87,15
2019-02-02,11:59:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,345,345,,,,,0,23.80,24.00,35.80,15
2019-02-02,12:14:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,350,350,,,,,0,24.50,25.00,34.67,6
2019-02-02,12:29:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,23.73,25.00,35.53,15
2019-02-02,12:44:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,26.67,24.00,31.67,15
2019-02-02,12:59:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,26.47,22.67,32.20,15
2019-02-02,13:14:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,27.36,22.00,31.00,11
2019-02-02,13:29:53,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,25.87,22.67,32.60,15
2019-02-02,13:44:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,28.67,24.00,29.33,15
2019-02-02,14:14:53,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,375,375,,,,,0,23.33,24.00,36.33,15
2019-02-02,14:29:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,375,375,,,,,0,23.53,24.00,36.13,15
2019-02-02,14:44:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,375,375,,,,,0,26.13,23.33,31.87,15
2019-02-02,14:59:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,24.80,24.67,33.93,15
2019-02-02,15:14:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,360,360,,,,,0,23.33,24.00,36.73,15
2019-02-02,15:44:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,340,340,,,,,0,24.00,24.00,35.00,0
2019-02-02,15:59:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,325,325,,,,,0,19.33,23.67,44.33,15
2019-02-02,16:14:52,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,310,310,,,,,0,22.92,23.33,37.17,12
2019-02-02,16:29:51,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,295,295,,,,,0,23.21,23.00,36.57,14
2019-02-02,18:12:53,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,210,210,,,,,0,25.00,21.67,34.00,5
2019-02-02,18:29:53,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,185,185,,,,,0,21.33,21.33,39.67,0
2019-02-02,22:29:56,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,60,60,,,,,0,21.00,21.00,40.00,0
2019-02-02,23:44:56,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,45,45,,,,,0,22.00,18.00,39.00,12
2019-02-02,23:59:56,5,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,45,45,,,,,0,18.53,18.00,45.93,15
2019-02-03,04:44:44,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,15,15,,,,,0,20.00,20.00,43.00,8
2019-02-03,05:44:46,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,15,15,,,,,0,18.00,16.00,47.00,10
2019-02-03,06:14:47,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,15,15,,,,,0,16.67,16.67,49.67,0
2019-02-03,08:14:47,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,30,30,,,,,0,17.27,15.00,47.55,11
2019-02-03,08:44:49,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,25,25,,,,,0,20.50,17.00,41.00,8
2019-02-03,08:59:49,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,20,20,,,,,0,18.47,19.00,46.00,15
2019-02-03,09:29:51,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,85,85,,,,,0,21.64,20.00,39.36,11
2019-02-03,09:44:51,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,125,125,,,,,0,20.00,20.00,42.47,15
2019-02-03,10:14:52,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,210,210,,,,,0,21.00,20.00,40.43,7
