Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather
IKRD_ SB,01/12/2019 01:00,2019,12,1,1,0,104,0.78,56.3,126.76,0,2,6,0,0,0,0,37.95,187.9,9.7,27,few clouds
IKRD_ SB,01/12/2019 02:00,2019,12,1,2,0,64,2.08,50.76,142.67,0,2,22,0,0,0,0,39.89,178.82,0.62,27,few clouds
IKRD_ SB,01/12/2019 03:00,2019,12,1,3,0,64,9.14,47.2,153.08,0,2,33,0,0,0,0,37.95,188.07,9.87,27,few clouds
IKRD_ SB,01/12/2019 06:00,2019,12,1,6,0,158,1.81,52.85,135.28,0,2,15,0,0,0,0,47.1,151.36,0,26,few clouds
IKRD_ SB,01/12/2019 07:00,2019,12,1,7,0,236,2.23,48.23,149.03,0,2,29,0,0,0,0,45.91,155.34,0,26,few clouds
IKRD_ SB,01/12/2019 08:00,2019,12,1,8,0,267,1.17,55.21,129.25,0,2,9,0,0,0,0,46.24,154.4,0,25,few clouds
IKRD_ SB,01/12/2019 09:00,2019,12,1,9,0,299,2.38,51.9,137.89,0,2,17,0,0,0,0,44.01,161.96,0,26,haze
IKRD_ SB,01/12/2019 10:00,2019,12,1,10,0,311,0.85,56.49,126.54,0,2,6,0,0,0,0,43.48,163.97,0,28,broken clouds
IKRD_ SB,01/12/2019 11:00,2019,12,1,11,0,326,1.2,54.23,131.67,0,2,11,0,0,0,0,44.27,161.08,0,29,broken clouds
IKRD_ SB,01/12/2019 12:00,2019,12,1,12,0,319,0.74,55.46,128.99,0,2,8,0,0,0,0,45.3,157.39,0,30,broken clouds
IKRD_ SB,01/12/2019 13:00,2019,12,1,13,0,343,1.55,54.06,131.94,0,2,11,0,0,0,0,44.75,159.29,0,31,broken clouds
IKRD_ SB,01/12/2019 14:00,2019,12,1,14,0,402,0.69,51.07,140.07,0,2,20,0,0,0,0,44.3,160.95,0,32,broken clouds
IKRD_ SB,01/12/2019 15:00,2019,12,1,15,0,416,2.01,52.67,135.73,0,2,15,0,0,0,0,42.54,167.73,0,32,broken clouds
IKRD_ SB,01/12/2019 16:00,2019,12,1,16,0,712,0.94,45.41,157.76,0,2,37,0,0,0,0,41.35,172.49,0,34,broken clouds
IKRD_ SB,01/12/2019 17:00,2019,12,1,17,0,808,0.07,51.32,139.14,0,2,19,0,0,0,0,41.61,171.42,0,32,scattered clouds
IKRD_ SB,01/12/2019 18:00,2019,12,1,18,0,768,0.29,47.15,151.84,0,2,31,0,0,0,0,42.88,166.33,0,31,scattered clouds
IKRD_ SB,01/12/2019 19:00,2019,12,1,19,0,803,0.09,47.95,149.66,0,2,29,0,0,0,0,44.27,161.09,0,30,few clouds
IKRD_ SB,01/12/2019 20:00,2019,12,1,20,0,799,0.15,38.88,184.88,0,3,4,6.68,0,0,6,39.29,181.49,3.29,29,few clouds
IKRD_ SB,01/12/2019 21:00,2019,12,1,21,0,688,0.88,44.81,161.38,0,2,41,0,0,0,0,40.7,175.21,0,28,few clouds
IKRD_ SB,01/12/2019 22:00,2019,12,1,22,0,492,0.25,48.35,147.75,0,2,27,0,0,0,0,41.67,171.09,0,28,few clouds
IKRD_ SB,01/12/2019 23:00,2019,12,1,23,0,199,0.92,53.43,134.31,0,2,14,0,0,0,0,40.53,175.9,0,28,few clouds
IKRD_ SB,02/12/2019 00:00,2019,12,2,0,0,123,0.78,59.53,119.86,0,1,59,0,0,0,0,38.63,184.66,6.46,27,few clouds
IKRD_ SB,02/12/2019 01:00,2019,12,2,1,0,62,5.42,59.89,121.37,0,2,1,0,0,0,0,41.23,172.92,0,27,few clouds
