Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather
3MB-NB,01/12/2019 00:00,2019,12,1,0,0,6,0,99.29,128.02,0,2,8,0,0,0,0,89.53,141.98,0,28,few clouds
3MB-NB,01/12/2019 01:00,2019,12,1,1,0,114,0.7,97.85,130.29,0,2,10,0,0,0,0,93.06,136.65,0,27,few clouds
3MB-NB,01/12/2019 02:00,2019,12,1,2,0,63,0.31,97.75,130.17,0,2,10,0,0,0,0,95.53,133.07,0,27,few clouds
3MB-NB,01/12/2019 03:00,2019,12,1,3,0,41,0.48,98.11,130.02,0,2,10,0,0,0,0,96.64,131.54,0,27,few clouds
3MB-NB,01/12/2019 04:00,2019,12,1,4,0,61,0.66,99.56,128.29,0,2,8,0,0,0,0,96.66,131.52,0,27,few clouds
3MB-NB,01/12/2019 05:00,2019,12,1,5,0,76,2.37,97.75,130.23,0,2,10,0,0,0,0,95.32,133.37,0,26,few clouds
3MB-NB,01/12/2019 06:00,2019,12,1,6,0,106,2.55,92.59,137.98,0,2,17,0,0,0,0,88.92,143.03,0,26,few clouds
3MB-NB,01/12/2019 07:00,2019,12,1,7,0,187,1.79,89.13,143.14,0,2,23,0,0,0,0,87.05,146.07,0,26,few clouds
3MB-NB,01/12/2019 08:00,2019,12,1,8,0,206,0.47,94.05,136.22,0,2,16,0,0,0,0,89.52,142.01,0,25,few clouds
3MB-NB,01/12/2019 09:00,2019,12,1,9,0,309,0.97,90.52,140.78,0,2,20,0,0,0,0,88.84,143.1,0,26,haze
3MB-NB,01/12/2019 10:00,2019,12,1,10,0,272,0.83,91.09,139.86,0,2,19,0,0,0,0,88.66,143.38,0,28,broken clouds
3MB-NB,01/12/2019 11:00,2019,12,1,11,0,270,0.49,90.66,141.04,0,2,21,0,0,0,0,90.9,139.85,0,29,broken clouds
3MB-NB,01/12/2019 12:00,2019,12,1,12,0,269,1.36,91.9,138.5,0,2,18,0,0,0,0,91.99,138.18,0,30,broken clouds
3MB-NB,01/12/2019 13:00,2019,12,1,13,0,247,0.64,89.78,141.83,0,2,21,0,0,0,0,88.2,144.17,0,31,broken clouds
3MB-NB,01/12/2019 14:00,2019,12,1,14,0,313,0.61,88.36,144.4,0,2,24,0,0,0,0,87.35,145.54,0,32,broken clouds
3MB-NB,01/12/2019 15:00,2019,12,1,15,0,359,1.05,88.61,143.96,0,2,23,0,0,0,0,83.6,152.19,0,32,broken clouds
